
2025/02/27 (21:35:52) | ===> btop++ v.1.4.0
2025/02/27 (21:35:52) | INFO: Logger set to INFO
2025/02/27 (21:35:53) | INFO: Logger set to DEBUG
2025/02/27 (21:35:54) | INFO: Logger set to INFO
2025/02/27 (21:35:55) | INFO: Logger set to INFO
2025/02/27 (21:36:55) | INFO: Quitting! Runtime: 00:01:43

2025/02/27 (23:04:08) | ===> btop++ v.1.4.0
2025/02/27 (23:04:08) | INFO: Logger set to INFO
2025/02/27 (23:04:08) | INFO: Running on /dev/pts/0
2025/02/27 (23:04:08) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/02/27 (23:04:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/02/27 (23:06:35) | INFO: Quitting! Runtime: 00:02:27

2025/03/03 (15:07:07) | ===> btop++ v.1.4.0
2025/03/03 (15:07:07) | INFO: Logger set to INFO
2025/03/03 (15:07:07) | INFO: Running on /dev/pts/1
2025/03/03 (15:07:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/03 (15:07:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/03 (15:07:20) | ===> btop++ v.1.4.0
2025/03/03 (15:07:20) | INFO: Logger set to INFO
2025/03/03 (15:07:20) | INFO: Running on /dev/pts/1
2025/03/03 (15:07:20) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/03 (15:07:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/04 (17:28:26) | ===> btop++ v.1.4.0
2025/03/04 (17:28:26) | INFO: Logger set to INFO
2025/03/04 (17:28:26) | INFO: Running on /dev/pts/0
2025/03/04 (17:28:26) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/04 (17:28:26) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/04 (17:31:05) | INFO: Quitting! Runtime: 00:02:39

2025/03/05 (12:10:04) | ===> btop++ v.1.4.0
2025/03/05 (12:10:04) | INFO: Logger set to INFO
2025/03/05 (12:10:04) | INFO: Running on /dev/pts/1
2025/03/05 (12:10:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/05 (12:10:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/11 (00:31:44) | ===> btop++ v.1.4.0
2025/03/11 (00:31:44) | INFO: Logger set to INFO
2025/03/11 (00:31:44) | INFO: Running on /dev/pts/1
2025/03/11 (00:31:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/11 (00:31:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/11 (00:31:47) | INFO: Quitting! Runtime: 00:00:03

2025/03/11 (01:21:37) | ===> btop++ v.1.4.0
2025/03/11 (01:21:37) | INFO: Logger set to INFO
2025/03/11 (01:21:37) | INFO: Running on /dev/pts/0
2025/03/11 (01:21:37) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/11 (01:21:37) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/11 (01:29:08) | INFO: Quitting! Runtime: 00:07:31

2025/03/13 (13:58:33) | ===> btop++ v.1.4.0
2025/03/13 (13:58:33) | INFO: Logger set to INFO
2025/03/13 (13:58:33) | INFO: Running on /dev/pts/2
2025/03/13 (13:58:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/13 (13:58:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/13 (13:59:46) | INFO: Quitting! Runtime: 00:01:13

2025/03/14 (01:07:51) | ===> btop++ v.1.4.0
2025/03/14 (01:07:51) | INFO: Logger set to INFO
2025/03/14 (01:07:51) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2025/03/14 (01:07:51) | INFO: Quitting! Runtime: 00:00:00

2025/03/14 (01:08:02) | ===> btop++ v.1.4.0
2025/03/14 (01:08:02) | INFO: Logger set to INFO
2025/03/14 (01:08:02) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2025/03/14 (01:08:02) | INFO: Quitting! Runtime: 00:00:00

2025/03/14 (01:13:43) | ===> btop++ v.1.4.0
2025/03/14 (01:13:43) | INFO: Logger set to INFO
2025/03/14 (01:13:43) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2025/03/14 (01:13:43) | INFO: Quitting! Runtime: 00:00:00

2025/03/14 (01:54:21) | ===> btop++ v.1.4.0
2025/03/14 (01:54:21) | INFO: Logger set to INFO
2025/03/14 (01:54:21) | INFO: Running on /dev/pts/0
2025/03/14 (01:54:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/14 (01:54:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/14 (01:55:05) | INFO: Quitting! Runtime: 00:00:44

2025/03/17 (10:53:45) | ===> btop++ v.1.4.0
2025/03/17 (10:53:45) | INFO: Logger set to INFO
2025/03/17 (10:53:45) | INFO: Running on /dev/pts/3
2025/03/17 (10:53:45) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/17 (10:53:45) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/17 (10:56:00) | INFO: Quitting! Runtime: 00:02:15

2025/03/17 (16:12:07) | ===> btop++ v.1.4.0
2025/03/17 (16:12:07) | INFO: Logger set to INFO
2025/03/17 (16:12:07) | INFO: Running on /dev/pts/0
2025/03/17 (16:12:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/17 (16:12:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/17 (16:17:14) | INFO: Quitting! Runtime: 00:05:07

2025/03/17 (18:25:06) | ===> btop++ v.1.4.0
2025/03/17 (18:25:06) | INFO: Logger set to INFO
2025/03/17 (18:25:06) | INFO: Running on /dev/pts/0
2025/03/17 (18:25:06) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2025/03/17 (18:25:06) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/17 (18:27:58) | INFO: Quitting! Runtime: 00:02:52

2025/03/18 (00:09:04) | ===> btop++ v.1.4.0
